conv_id,source,n_messages,first_human_msg,rater_human_role,rater_ai_role,rater_confidence_human,rater_confidence_ai,rater_notes
chatbot_arena_0045,chatbot_arena,6,,,,,,
chatbot_arena_0059,chatbot_arena,4,,,,,,
chatbot_arena_0098,chatbot_arena,8,,,,,,
chatbot_arena_0125,chatbot_arena,4,,,,,,
chatbot_arena_0142,chatbot_arena,6,,,,,,
chatbot_arena_0210,chatbot_arena,4,,,,,,
chatbot_arena_0261,chatbot_arena,6,,,,,,
chatbot_arena_02690,chatbot_arena,6,,,,,,
chatbot_arena_03385,chatbot_arena,6,,,,,,
chatbot_arena_0403,chatbot_arena,4,,,,,,
chatbot_arena_0426,chatbot_arena,4,,,,,,
chatbot_arena_04298,chatbot_arena,6,,,,,,
chatbot_arena_0437,chatbot_arena,4,,,,,,
chatbot_arena_04494,chatbot_arena,8,,,,,,
chatbot_arena_0451,chatbot_arena,4,,,,,,
chatbot_arena_0494,chatbot_arena,4,,,,,,
chatbot_arena_0500,chatbot_arena,4,,,,,,
chatbot_arena_0584,chatbot_arena,4,,,,,,
chatbot_arena_0607,chatbot_arena,4,,,,,,
chatbot_arena_06329,chatbot_arena,6,,,,,,
chatbot_arena_06403,chatbot_arena,8,,,,,,
chatbot_arena_0787,chatbot_arena,4,,,,,,
chatbot_arena_0796,chatbot_arena,4,,,,,,
chatbot_arena_09112,chatbot_arena,6,,,,,,
chatbot_arena_09840,chatbot_arena,6,,,,,,
chatbot_arena_10080,chatbot_arena,8,,,,,,
chatbot_arena_10310,chatbot_arena,8,,,,,,
chatbot_arena_10350,chatbot_arena,8,,,,,,
chatbot_arena_1062,chatbot_arena,4,,,,,,
chatbot_arena_1088,chatbot_arena,4,,,,,,
chatbot_arena_12061,chatbot_arena,6,,,,,,
chatbot_arena_1298,chatbot_arena,4,,,,,,
chatbot_arena_1312,chatbot_arena,4,,,,,,
chatbot_arena_1332,chatbot_arena,4,,,,,,
chatbot_arena_1338,chatbot_arena,4,,,,,,
chatbot_arena_1347,chatbot_arena,4,,,,,,
chatbot_arena_1387,chatbot_arena,4,,,,,,
chatbot_arena_1391,chatbot_arena,4,,,,,,
chatbot_arena_1423,chatbot_arena,4,,,,,,
chatbot_arena_1431,chatbot_arena,4,,,,,,
chatbot_arena_1453,chatbot_arena,4,,,,,,
chatbot_arena_15230,chatbot_arena,6,,,,,,
chatbot_arena_1641,chatbot_arena,4,,,,,,
chatbot_arena_1657,chatbot_arena,4,,,,,,
chatbot_arena_16597,chatbot_arena,6,,,,,,
chatbot_arena_1668,chatbot_arena,4,,,,,,
chatbot_arena_1705,chatbot_arena,4,,,,,,
chatbot_arena_17055,chatbot_arena,8,,,,,,
chatbot_arena_1708,chatbot_arena,4,,,,,,
chatbot_arena_17629,chatbot_arena,6,,,,,,
chatbot_arena_17814,chatbot_arena,6,,,,,,
chatbot_arena_19057,chatbot_arena,6,,,,,,
chatbot_arena_1913,chatbot_arena,4,,,,,,
chatbot_arena_1971,chatbot_arena,4,,,,,,
chatbot_arena_19712,chatbot_arena,6,,,,,,
chatbot_arena_20911,chatbot_arena,12,,,,,,
chatbot_arena_21893,chatbot_arena,6,,,,,,
chatbot_arena_22539,chatbot_arena,6,,,,,,
chatbot_arena_22874,chatbot_arena,12,,,,,,
chatbot_arena_23691,chatbot_arena,6,,,,,,
chatbot_arena_23760,chatbot_arena,10,,,,,,
chatbot_arena_23888,chatbot_arena,8,,,,,,
chatbot_arena_24203,chatbot_arena,6,,,,,,
chatbot_arena_24519,chatbot_arena,6,,,,,,
chatbot_arena_24989,chatbot_arena,6,,,,,,
chatbot_arena_25597,chatbot_arena,8,,,,,,
chatbot_arena_25861,chatbot_arena,6,,,,,,
chatbot_arena_26387,chatbot_arena,6,,,,,,
chatbot_arena_26855,chatbot_arena,6,,,,,,
chatbot_arena_27404,chatbot_arena,6,,,,,,
chatbot_arena_27566,chatbot_arena,6,,,,,,
chatbot_arena_27684,chatbot_arena,6,,,,,,
chatbot_arena_27744,chatbot_arena,6,,,,,,
chatbot_arena_30868,chatbot_arena,12,,,,,,
chatbot_arena_32903,chatbot_arena,6,,,,,,
oasst-2e377d46-dfec-4557-97e0-99f500e46e1d_0074,oasst,12,,,,,,
wildchat_6192b3ae0816e6d5722fa5af8937d9de,wildchat,16,,,,,,
wildchat_79e7b24a8c8bea7ad80edb267d05bc07,wildchat,24,,,,,,
wildchat_7e953b1c94ae2db57e28a4f2f39aeb89,wildchat,4,,,,,,
wildchat_a2c59a52bbe9d31be231dcd38644ea6d,wildchat,10,,,,,,
wildchat_aeafb904973c5c0ad18150a04d99f443,wildchat,4,,,,,,
wildchat_c32165ad751f79b34e683237628a882c,wildchat,6,,,,,,
wildchat_d8ec54d4a29d8460d63cf0e9a8dc5ae1,wildchat,28,,,,,,
wildchat_new_0293ce0f6180f649,WildChat,22,,,,,,
wildchat_new_65b98716ce6aeca7,WildChat,18,,,,,,
wildchat_new_65cf0d3808f5af36,WildChat,18,,,,,,
wildchat_new_6917805407644e4e,WildChat,24,,,,,,
wildchat_new_76052e0f2fb4e59c,WildChat,24,,,,,,
wildchat_new_80f915d2fda87e23,WildChat,18,,,,,,
wildchat_new_85714698c14e4767,WildChat,16,,,,,,
wildchat_new_86aae6f178564a66,WildChat,30,,,,,,
wildchat_new_9baff32a4f33c797,WildChat,16,,,,,,
wildchat_new_9dbc1bab02321836,WildChat,28,,,,,,
wildchat_new_ac6ba44273f83561,WildChat,38,,,,,,
wildchat_new_c2265ef1b38a044b,WildChat,18,,,,,,
wildchat_new_c3c0004bca6ea3d7,WildChat,16,,,,,,
wildchat_new_df111c72ae2fe609,WildChat,42,,,,,,
wildchat_new_e997cbd1763d0244,WildChat,16,,,,,,
wildchat_new_f871ef7b6b1aef30,WildChat,30,,,,,,
wildchat_new_fbd2fbd5b3ae46eb,WildChat,32,,,,,,
